Restaurant_id,Total_orders,Popular_dish
16448,4994,Shahi tukra
16472,14485,Sattu ki roti
16489,3462,Aloo methi
16493,8616,Brown Rice
16498,2297,Samosa
16506,5432,Lauki ke kofte
16536,6230,Veg Kolhapuri
16561,12385,Sheera
16577,11859,Kofta
16617,1038,Pork Bharta
16637,6788,Petha
16640,2451,Shahi paneer
16659,6133,Bajri no rotlo
16696,14570,Black rice
16770,12728,Haq Maas
16866,12326,Kansar
16930,6343,Pinaca
16974,4109,Pongal
17106,3552,Khichdi
17118,1610,Karela bharta
17150,1018,Vindaloo
17155,7291,Halvasan
17167,6813,Zunka
17182,1810,Fara
17183,3765,Keerai kootu
17196,8390,Gulab jamun
17304,10005,Shankarpali
17345,4311,Gajar ka halwa
17346,5634,Dharwad pedha
17376,6091,Bhindi masala
17395,11437,Kansar
17407,6498,Palak paneer
17456,1808,Keerai sadam
17466,4108,Pani Pitha
17499,8355,Gajar ka halwa
17595,11050,Puri Bhaji
17602,6674,Maach Jhol
17629,13934,Thepla
17632,3653,Undhiyu
17702,1114,Qubani ka meetha
17895,11445,Handwo
17901,11095,Mawa Bati
17906,11074,Red Rice
17907,3310,Aloo tikki
18007,14742,Kumol Sawul
18012,2511,Rasgulla
18049,3342,Kadhi pakoda
18085,7192,Ledikeni
18086,5015,Kadhi pakoda
18087,10682,Ghooghra
18090,13812,Dhondas
18107,4359,Dal makhani 
18114,3981,Pattor
18182,11155,Aloo matar
18333,5616,Litti chokha
18359,3973,Gheela Pitha
18360,1584,Lyangcha
18464,4583,Halvasan
18518,12069,Gavvalu
18551,14370,Black rice
18591,6765,Koshambri
18614,10503,Mushroom do pyaza
18620,14299,Chhena kheeri
18693,13701,Pani puri
18808,10156,Bajri no rotlo
18828,10997,Thalipeeth
18837,2330,Kakinada khaja
18846,6693,Chole bhature
18851,1430,Gajar ka halwa
18853,7241,Amti
18856,14631,Koshambri
18857,5825,Beef Fry
18861,3129,Konir Dom
18879,13250,Laddu
18945,14196,Luchi
18981,4081,Rasgulla
18987,6218,Avial
19000,1761,Khorisa
19009,11384,Fara
19172,2564,Sandesh
19187,3035,Vegetable jalfrezi
19197,9635,Masor tenga
19200,9184,Kachori
19212,9806,Bajri no rotlo
19221,12232,Chikki
19228,13749,Masala Dosa
19344,13192,Chole bhature
19450,12739,Lauki ki subji
19515,12665,Keerai kootu
19518,13902,Rasam
19521,5091,Zunka
19532,12790,Lassi
19580,10493,Dharwad pedha
19643,10536,Black rice
19870,13332,Pongal
19871,1484,Pindi chana
19917,6986,Pantua
19927,1038,Gulab jamun
19939,7458,Shahi paneer
19940,11306,Namakpara
19942,2236,Kanji
19952,14235,Paruppu sadam
19981,2338,Kaju katli
20058,7973,Chana masala
20154,11018,Pongal
20166,11257,Thepla
20194,1079,Idiappam
20234,9867,Papad
20330,13421,Tandoori Fish Tikka
20435,4480,Gulab jamun
20438,4452,Misti doi
20440,2831,Koshambri
20486,8453,Fara
20501,11046,Bajri no rotlo
20510,12497,Poriyal
20513,9841,Vada
20514,10996,Kaara kozhambu
20526,10727,Sev tameta
20568,7414,Aloo matar
20570,10053,Dahi vada
20637,2445,Copra paak
20646,7228,Sandesh
20653,5640,Khorisa
20732,11044,Paneer butter masala
20747,10727,Farsi Puri
20760,13338,Paruppu sadam
20812,8104,Sutar feni
20855,2360,Pakhala
20929,14131,Paruppu sadam
20961,13557,Paniyaram
20970,5457,Sabudana Khichadi
21001,12568,Avial
21032,6077,Beef Fry
21058,11465,Mysore pak
21077,3721,Kootu
21105,8643,Laapsi
21180,1388,Bisi bele bath
21227,3075,Chicken Tikka
21232,9050,Muthiya
21238,11973,Coconut vadi
21257,13089,Kansar
21404,13518,Chikki
21435,6065,Qubani ka meetha
21545,6792,Naan
21552,2299,Shankarpali
21630,4724,Keerai masiyal
21633,3970,Chhena jalebi
21739,12125,Dal makhani 
21780,2755,Aloo shimla mirch
21785,11653,Biryani
21851,5134,Gheela Pitha
21855,7329,Rongi
21892,4548,Red Rice
21921,14309,Bora Sawul
21966,14760,Gajar ka halwa
22127,8463,Dahi vada
22234,3813,Gatta curry
22380,7257,Namakpara
22382,7872,Pachadi
22399,3523,Chikki
22427,7019,Poriyal
22483,5862,Bengena Pitika
22490,3359,Chhena kheeri
22512,4728,Upma
22581,5463,Shankarpali
22642,1749,Kansar
22660,1992,Ledikeni
22743,5974,Misi roti
22766,14667,Malapua
22772,7540,Shahi paneer
22791,1858,Mawa Bati
22799,12562,Dhondas
22820,7641,Kachori
22823,11973,Namakpara
22834,10041,Daal baati churma
22964,8548,Keri no ras
22990,6848,Konir Dom
23065,14786,Adhirasam
23090,6859,Rajma chaval
23093,7298,Vindaloo
23151,10049,Poha
23180,3815,Koldil Chicken
23210,12068,Litti chokha
23226,9332,Doodhpak
23325,13519,Bhakri
23341,8409,Petha
23342,9072,Paniyaram
23438,4692,Mushroom do pyaza
23445,10869,Bajri no rotlo
23490,10153,Mysore pak
23496,10442,Chicken razala
23506,2418,Aloo shimla mirch
23548,4541,Kajjikaya
23607,13023,Brown Rice
23658,7655,Dosa
23707,11266,Keerai sadam
23719,1841,Churma Ladoo
23777,8598,Chikki
23781,10176,Khar
23783,9807,Konir Dom
23847,6790,Dharwad pedha
24004,8528,Paravannam
24030,11775,Khandvi
24052,12065,Pachadi
24058,14370,Shahi paneer
24064,14574,Gavvalu
24075,11003,Kos kootu
24086,4730,Khakhra
24087,5012,Sabudana Khichadi
24162,1950,Kofta
24274,14340,Payokh
24461,11219,Idiappam
24463,14350,Mag Dhokli
24656,12196,Khar
24692,4483,Dal makhani 
24726,3630,Red Rice
24730,7988,Paruppu sadam
24744,4926,Chhena kheeri
24749,4679,Kootu
24784,4038,Panjeeri
24798,6459,Idiappam
24872,4338,Poornalu
24997,1611,Luchi
25133,10149,Shufta
25140,14998,Chapati
25158,8674,Aloo methi
25164,14873,Kanji
25222,11724,Namakpara
25232,11758,Sevai
25251,11291,Tandoori Chicken
25288,5940,Rajma chaval
25312,7220,Kheer sagar
25443,10556,Dalithoy
25522,7524,Chicken Varuval
25525,7634,Kansar
25562,10038,Jeera Aloo
25622,9479,Chingri Bhape
25633,13024,Imarti
25643,4316,Kutchi dabeli
25726,9074,Gajar ka halwa
25799,8274,Sohan halwa
25804,2173,Bora Sawul
25833,11014,Basundi
25844,3545,Bora Sawul
25850,14499,Payasam
25923,2599,Black rice
26122,4625,Kaju katli
26235,1209,Bhakri
26301,5031,Kaju katli
26418,4644,Gheela Pitha
26467,6680,Thayir sadam
26468,13175,Dhondas
26517,9194,Chikki
26618,14406,Lilva Kachori
26619,1968,Lilva Kachori
26723,10097,Khakhra
26814,10072,Rasam
26865,1996,Khichdi
26869,12277,Papad
26901,10400,Dosa
26919,4267,Kombdi vade
26925,14851,Navrattan korma
27077,4431,Paravannam
27081,6375,Kachori
27259,12769,Dal tadka
27265,4049,Paneer tikka masala
27274,8032,Dalithoy
27405,3003,Sohan papdi
27552,2394,Dudhi halwa
27658,14405,Navrattan korma
27665,6134,Luchi
27677,8742,Pattor
27690,1740,Pani puri
27739,9792,Chapati
27926,8289,Shufta
27934,14373,Chorafali
27963,4337,Maach Jhol
27974,2579,Copra paak
27991,7017,Ras malai
28020,9957,Sheer korma
28037,11208,Dosa
28067,8201,Mahim halwa
28135,5651,Dhondas
28305,4987,Gulab jamun
28316,8011,Sutar feni
28358,7919,Kumol Sawul
28365,4828,Doodhpak
28370,7004,Singori
28376,12779,Shrikhand
28378,1682,Handwo
28405,5203,Ledikeni
28416,6451,Bengena Pitika
28541,3699,Aloo shimla mirch
28567,12472,Pork Bharta
28570,6545,Aloo methi
28721,2568,Poornalu
28768,13122,Makki di roti sarson da saag
28854,13332,Sambar
28876,1632,Gud papdi
28897,9734,Chorafali
28913,2403,Naan
28949,4760,Chevdo
28961,7861,Chole bhature
29023,8479,Dharwad pedha
29063,14232,Mushroom matar
29064,4383,Thayir sadam
29065,14256,Coconut vadi
29070,3772,Palathalikalu
29071,9250,Thalipeeth
29163,7650,Lauki ke kofte
29425,3856,Dal makhani 
29444,5865,Singori
29510,3879,Koshambri
29534,6521,Kadhi pakoda
29540,5776,Dal makhani 
29639,11562,Kalakand
29666,12693,Copra paak
29709,7670,Pindi chana
29711,10841,Tandoori Fish Tikka
29781,7564,Handwo
29784,5048,Shahi tukra
29822,14869,Churma Ladoo
29851,10547,Copra paak
30034,13867,Currivepillai sadam 
30083,12254,Daal Dhokli
30163,9272,Laapsi
30218,6755,Chorafali
30306,10059,Prawn malai curry
30359,9548,Laapsi
30529,11264,Sev tameta
30615,6888,Phirni
30677,3082,Ledikeni
30731,7811,Pakhala
30732,1521,Pattor
30791,2999,Biryani
30826,11809,Phirni
30864,8741,Kadhi pakoda
30941,3593,Kadai paneer
30947,5467,Uttapam
30962,8083,Adhirasam
31017,7470,Jeera Aloo
31084,8880,Rabri
31251,7751,Kanji
31265,6662,Attu
31516,12633,Bhakri
31561,2271,Kadai paneer
31667,14882,Pongal
31696,8726,Paneer butter masala
31698,8451,Makki di roti sarson da saag
31760,4721,Payokh
31775,10029,Mihidana
31949,12557,Pootharekulu
31959,4526,Bisi bele bath
31965,10000,Pootharekulu
31970,8795,Aloo gobi
31974,8410,Cheera Doi
31990,5784,Papadum
31993,6992,Hando Guri
32003,5418,Fara
32129,11501,Theeyal
32258,7677,Amti
32263,2973,Lassi
32399,8363,Laapsi
32432,11658,Dhondas
32499,9153,Sevai
32510,13558,Halvasan
32513,5834,Patra
32566,9500,Butter chicken
32576,11802,Misti doi
32611,6953,Dosa
32709,3369,Surnoli
32713,4288,Shahi paneer
32724,13676,Naan
32725,1812,Modak
32734,4464,Litti chokha
32775,14170,Koshimbir
32840,5214,Mushroom matar
32842,7203,Bombil fry
32858,12571,Chorafali
32902,1795,Kootu
32907,9867,Kansar
32911,3830,Basundi
32960,4246,Masor Koni
33026,7998,Jalebi
33038,2702,Doodhpak
33093,9601,Butter chicken
33121,9040,Mishti Chholar Dal
33127,9837,Konir Dom
33207,3973,Pani Pitha
33209,10714,Aloo shimla mirch
33212,10463,Avial
33237,13845,Avial
33253,10956,Dhondas
33290,6435,Kothamali sadam
33434,6290,Palathalikalu
33456,10139,Misti doi
33457,7846,Amti
33514,7066,Shahi tukra
33520,1426,Rongi
33525,9040,Fara
33671,1983,Rabri
33753,9899,Sandige
33807,8657,Khichdi
33849,5503,Panjeeri
33875,11857,Dahi vada
33913,2542,Pav Bhaji
33930,10351,Obbattu holige
33938,5323,Kaara kozhambu
34020,12658,Khichdi
34028,12883,Paneer tikka masala
34058,11154,Samosa
34072,13268,Chevdo
34147,13986,Kadai paneer
34166,4673,Nankhatai
34269,10725,Bajri no rotlo
34312,14958,Sattu ki roti
34313,5605,Sohan papdi
34463,5172,Kos kootu
34634,5572,Ras malai
34715,7665,Rabri
34803,4676,Keerai poriyal
35008,12682,Pani Pitha
35242,3534,Ariselu
35307,6482,Avial
35324,6420,Qubani ka meetha
35330,4019,Gheela Pitha
35433,3090,Lyangcha
35521,9548,Paneer butter masala
35669,13936,Papad
35755,13557,Mihidana
35791,5252,Khorisa
35835,2093,Coconut vadi
35873,11705,Chingri malai curry
35954,5294,Keerai masiyal
35971,11425,Sev tameta
35981,1308,Khorisa
36092,9384,Pinaca
36159,5205,Upma
36174,3616,Sheer korma
36186,10151,Masor Koni
36191,14012,Chingri Bhape
36195,13110,Chapati
36333,5310,Konir Dom
36461,5739,Kootu
36493,2844,Lauki ki subji
36520,1428,Kheer sagar
36553,7631,Goja
36556,6960,Lassi
36589,10525,Amti
36654,13893,Shukto
36670,13688,Puttu
36862,3281,Konir Dom
36969,5912,Kulfi falooda
36995,1458,Chingri Bhape
37027,8511,Khandvi
37039,3794,Keerai masiyal
37067,5402,Kuzhakkattai
37086,7420,Gajar ka halwa
37116,11446,Mushroom do pyaza
37121,13119,Gud papdi
37122,10985,Chikki
37136,6174,Chhena kheeri
37217,7947,Rasgulla
37272,10835,Paniyaram
37298,14031,Mushroom do pyaza
37352,2159,Methi na Gota
37358,14743,Patra
37474,7206,Sheer korma
37488,8427,Paratha
37618,3320,Sandesh
37684,2783,Karela bharta
37689,4396,Gud papdi
37709,2752,Amti
37726,12923,Kuzhi paniyaram
37733,3488,Chicken Tikka masala
37739,10742,Unni Appam
37746,11162,Paneer butter masala
37747,10220,Chak Hao Kheer
37817,10957,Pongal
37853,3810,Sambar
37933,12901,Koshimbir
37972,1311,Cheera Doi
37998,9704,Hando Guri
38127,10252,Bisi bele bath
38154,10886,Kombdi vade
38158,12533,Bora Sawul
38177,12632,Kadai paneer
38178,12809,Til Pitha
38179,11348,Kajjikaya
38187,12463,Daal Dhokli
38294,11617,Thepla
38462,9431,Koshimbir
38467,7390,Black rice
38502,8491,Prawn malai curry
38590,9058,Rasgulla
38633,2900,Sev tameta
38665,1419,Haq Maas
38678,1192,Saath
38691,1845,Kadai paneer
38692,7191,Chhena kheeri
38773,13062,Sambar
38986,7927,Pork Bharta
39012,12634,Kuzhi paniyaram
39026,6738,Keri no ras
39043,11720,Kadai paneer
39063,14277,Aloo shimla mirch
39070,8647,Bora Sawul
39164,3148,Puli sadam
39170,11448,Dhokla
39187,5778,Kadai paneer
39272,10127,Nankhatai
39276,14263,Cheera Doi
39302,10025,Papadum
39323,4699,Saath
39325,4829,Pork Bharta
39447,13671,Makki di roti sarson da saag
39522,7676,Mag Dhokli
39547,14610,Vegetable jalfrezi
39549,5597,Kulfi falooda
39550,9741,Kheer
39578,2646,Methi na Gota
39579,8174,Til Pitha
39583,11493,Dal makhani 
39620,4968,Chorafali
39721,5936,Dudhi halwa
39755,3563,Kombdi vade
39920,7043,Modak
40154,13575,Kajjikaya
40184,8838,Sandige
40239,7181,Theeyal
40288,3455,Chakali
40297,6932,Sukhdi
40466,6431,Sandesh
40469,7502,Shankarpali
40473,4572,Phirni
40605,7912,Gavvalu
40613,10151,Chole bhature
40619,14322,Shukto
40707,7931,Chevdo
40740,10571,Paravannam
40803,5406,Rasam
40819,14831,Jalebi
40831,10261,Undhiyu
40908,986,Phirni
40928,11260,Black rice
40942,6475,Ghooghra
40957,6672,Kadai paneer
41079,13439,Haq Maas
41100,7741,Gud papdi
41172,9404,Makki di roti sarson da saag
41247,12068,Kajjikaya
41264,7614,Bandar laddu
41306,7267,Avial
41397,14764,Pinaca
41471,12565,Poornalu
41635,7807,Palathalikalu
41700,7506,Samosa
41741,14073,Jeera Aloo
41776,3625,Chhena poda
41818,11659,Kumol Sawul
41848,8169,Pani Pitha
41981,11335,Aloo methi
42031,12556,Chicken Varuval
42032,12868,Gatta curry
42048,12343,Kutchi dabeli
42116,1206,Dal makhani 
42222,11546,Kuzhi paniyaram
42265,5438,Modak
42282,8406,Gavvalu
42330,6205,Kanji
42337,14754,Sev khamani
42380,10511,Chakali
42422,13257,Khorisa
42423,13881,Shrikhand
42439,2064,Chikki
42581,8057,Thalipeeth
42603,8754,Chikki
42784,1709,Rasgulla
42832,11814,Kaju katli
42885,1275,Handwo
43128,4990,Bilahi Maas
43131,6264,Paruppu sadam
43142,8750,Sandesh
43183,10414,Gavvalu
43185,13061,Gud papdi
43189,9420,Karela bharta
43206,12796,Basundi
43634,7193,Chingri malai curry
43652,7622,Pinaca
43727,6603,Kuzhi paniyaram
43794,10451,Aloo shimla mirch
43836,14262,Palathalikalu
43863,13924,Chicken Tikka
43889,5596,Nankhatai
43958,12195,Pootharekulu
44000,13166,Sohan papdi
44058,6692,Singori
44141,2176,Bandar laddu
44184,6882,Pakhala
44206,4670,Petha
44238,8906,Sutar feni
44246,8334,Kachori
44255,1052,Rongi
44257,8548,Thayir sadam
44261,6339,Palak paneer
44282,6655,Palathalikalu
44579,10097,Biryani
44640,8162,Dharwad pedha
45037,11504,Paniyaram
45103,9021,Phirni
45703,1449,Namakpara
45757,2555,Kakinada khaja
45761,11882,Pattor
45830,8788,Pattor
45838,1953,Aloo tikki
45843,2348,Namakpara
45846,1837,Chicken Tikka
45951,9536,Misi roti
46092,10019,Anarsa
46126,3235,Mahim halwa
46127,10485,Pachadi
46137,3364,Koshimbir
46166,12121,Ariselu
46248,1193,Dalithoy
46284,4411,Kothamali sadam
46377,3867,Puttu
46460,5925,Kuzhambu
46593,7142,Uttapam
46650,2552,Obbattu holige
46772,2930,Puli sadam
46773,10958,Dhondas
46864,14237,Sabudana Khichadi
46872,4834,Gajar ka halwa
46880,9737,Panjeeri
46909,1329,Rajma chaval
47004,6178,Paratha
47009,13394,Koshimbir
47022,7502,Pantua
47025,10756,Puli sadam
47070,8985,Attu
47137,9828,Puri Bhaji
47295,3510,Idli
47314,4175,Malapua
47421,13969,Paneer butter masala
47446,8455,Double ka meetha
47458,5726,Obbattu holige
47583,1893,Pani puri
47587,6825,Pindi chana
47589,5918,Chingri malai curry
47602,6441,Haq Maas
47693,11376,Paneer butter masala
47696,2765,Chana masala
47697,7356,Shankarpali
47771,8642,Ariselu
47788,4118,Kheer
47833,6132,Shankarpali
47964,1597,Rongi
48030,11389,Kolim Jawla
48051,8091,Kadhi pakoda
48076,7151,Chingri Bhape
48127,9833,Pani Pitha
48128,8069,Aloo shimla mirch
48146,10405,Lassi
48339,1491,Phirni
48390,9037,Boondi
48410,1450,Ras malai
48446,13592,Kakinada khaja
48556,6767,Dal makhani 
48630,8895,Naan
48742,12997,Ariselu
48756,12511,Aloo gobi
48780,9861,Boondi
48948,11749,Bhindi masala
49007,9756,Nankhatai
49025,1819,Puli sadam
49032,11869,Ras malai
49078,11267,Chorafali
49122,11260,Poornalu
49133,6092,Pindi chana
49163,9494,Muthiya
49320,11505,Keerai kootu
49332,14596,Namakpara
49355,2171,Dal tadka
49578,4633,Theeyal
49592,4483,Rasgulla
49593,8829,Chorafali
49600,12332,Khakhra
